[Header]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Position Status (code),Evercool Status (code),Motor Current (amps),Motor Heatsink Temp. (C),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,3949577178.37907,393.003418,-23252.7900390625,-11.2025597291607,0.00214988637109453,1,0.999253354069792,40.0298881530762,1.99080664977804,12.3199997469783,-60.7705032216414,-10.9704340063237,250,0.042452019468136,-11.1653730255175,0.00615042222076639,393.0027161,393.0041199,-23317.56640625,-23188.013671875,56.0646504273905,20.5523192149178,8.884414,0,0,0,40,393.19105,1,6,1,1,0,2.2418212890625,65.0048904418945,-23252.7900390625,,,,,,,,,,,,,0,,,,14.78915505,,,,,,393.003418,,,,
,3949577179.65104,393.003891,-23122.95703125,-11.1968989167657,0.00248795378868016,1,0.999253354069792,40.0298881530762,1.99081022492618,12.3199997469783,-60.7412725371968,-10.9574693358383,250,0.0438036114978596,-11.1597352339639,0.00751523158053512,393.0036621,393.0041199,-23188.013671875,-23057.900390625,56.0998237107559,20.5546751252758,8.884414,0,0,0,40,393.1919,1,6,1,1,0,2.24197387695313,64.5161285400391,-23122.95703125,,,,,,,,,,,,,0,,,,14.78915505,,,,,,393.003891,,,,
,3949577180.81676,393.00360105,-23008.021484375,-11.1945649746976,0.00249686959228027,1,0.999253354069792,40.0298881530762,1.99086838213906,12.3300002887845,-60.729596180562,-10.9595378623466,250,0.043049749959747,-11.1574066924576,0.00677082382732498,393.00354,393.0036621,-23057.900390625,-22958.142578125,55.7832641604674,20.552318125833,8.140677,0,0,0,40,393.1894,1,6,1,1,0,2.24288940429688,65.0048904418945,-23008.021484375,,,,,,,,,,,,,0,,,,14.78915505,,,,,,393.00360105,,,,
,3949577182.85688,393.0040588,-22803.6396484375,-11.1892760812098,0.00264020918878216,1,0.999253354069792,40.0298881530762,1.99077746152005,12.3300002887845,-60.6979044753748,-10.95547561461,250,0.0427344675921728,-11.1521341825453,0.00647278760227551,393.0040588,393.0040588,-22818.5859375,-22788.693359375,55.5847305165828,20.5499318962964,8.140677,0,0,0,40,393.1904,1,6,1,1,0,2.24334716796875,65.0048904418945,-22803.6396484375,,,,,,,,,,,,,0,,,,14.9368916,,,,,,393.0040588,,,,
,3949577183.66332,393.00411985,-22723.8642578125,-11.1872898068268,0.0027269567835025,1,0.999253354069792,40.0298881530762,1.99073672149759,12.3300002887845,-60.6860451241881,-10.9526253275357,250,0.042854028713024,-11.1501548604966,0.00659793457211276,393.0040588,393.0041809,-22788.693359375,-22659.03515625,55.5847305165828,20.5518572825599,8.884414,0,0,0,40,393.1881,1,6,1,1,0,2.24349975585938,64.5161285400391,-22723.8642578125,,,,,,,,,,,,,0,,,,14.9368916,,,,,,393.00411985,,,,
,3949577185.03783,393.0037689,-22589.3466796875,-11.18775913014,0.00199411706629343,1,0.999253354069792,40.0298881530762,1.99089764306911,12.3300002887845,-60.6930734202286,-10.955581813977,250,0.0425551372559963,-11.1506217296582,0.00629786996662385,393.0033569,393.0041809,-22659.03515625,-22519.658203125,55.9403714928328,20.5560492349239,8.884414,0,0,0,40,393.1863,1,6,1,1,0,2.24273681640625,65.0048904418945,-22589.3466796875,,,,,,,,,,,,,0,,,,14.9368916,,,,,,393.0037689,,,,
,3949577186.36029,393.00300595,-22454.765625,-11.1801536640435,0.00215985789307104,1,0.999253354069792,40.0298881530762,1.99087763540773,12.3199997469783,-60.6516477159669,-10.9457135292988,250,0.0429536324595473,-11.1430431059957,0.00671894222210569,393.002655,393.0033569,-22519.658203125,-22389.873046875,55.6535138262751,20.5555689954249,8.140677,0,0,0,40,393.1847,1,6,1,1,0,2.2406005859375,64.5161285400391,-22454.765625,,,,,,,,,,,,,0,,,,14.78915505,,,,,,393.00300595,,,,
,3949577187.60143,393.00305175,-22330.072265625,-11.1781773218702,0.00215946420101435,1,0.999253354069792,40.0298881530762,1.99082952549268,12.3300002887845,-60.639263631727,-10.9447863752924,250,0.0427131312801432,-11.141072516259,0.00648505829244245,393.002655,393.0034485,-22389.873046875,-22270.271484375,55.852829098679,20.5519936024814,8.140677,0,0,0,40,393.1843,1,6,1,1,0,2.24166870117188,64.5161285400391,-22330.072265625,,,,,,,,,,,,,0,,,,14.78915505,,,,,,393.00305175,,,,
,3949577188.71313,393.0034485,-22220.5087890625,-11.1752013163536,0.00255892940053502,1,0.999253354069792,40.0298881530762,1.99074582637751,12.3300002887845,-60.6213956367781,-10.9372909685948,250,0.0434646548967453,-11.1381086813263,0.00724320144191632,393.0034485,393.0034485,-22270.271484375,-22170.74609375,55.7809192749097,20.5515007122924,8.884414,0,0,0,40,393.1843,1,6,1,1,0,2.2412109375,64.5161285400391,-22220.5087890625,,,,,,,,,,,,,0,,,,14.9368916,,,,,,393.0034485,,,,
,3949577189.88374,393.0031128,-22100.931640625,-11.1705626907482,0.00277153656745316,1,0.999253354069792,40.0298881530762,1.99073469920108,12.3300002887845,-60.5951747941758,-10.9366397002619,250,0.0427187863858303,-11.1334831818913,0.00651428474838177,393.0027771,393.0034485,-22170.74609375,-22031.1171875,55.7684132186021,20.5494735771343,8.884414,0,0,0,40,393.1849,1,6,1,1,0,2.24319458007813,65.0048904418945,-22100.931640625,,,,,,,,,,,,,0,,,,14.9368916,,,,,,393.0031128,,,,
,3949577191.22608,393.004364,-21966.265625,-11.1686663333582,0.00238303735870939,1,0.999253354069792,40.0298881530762,1.99075145602791,12.3199997469783,-60.5859959576857,-10.9315468754794,250,0.0433255763914461,-11.131594630954,0.00712460263161989,393.0027771,393.0059509,-22031.1171875,-21901.4140625,55.8981635527944,20.5515517237119,8.884414,0,0,0,40,393.18555,1,6,1,1,0,2.24472045898438,64.5161285400391,-21966.265625,,,,,,,,,,,,,0,,,,14.9368916,,,,,,393.004364,,,,
,3949577192.48086,393.00534055,-21841.5478515625,-11.1620009725953,0.00261186860899085,1,0.999253354069792,40.0298881530762,1.99080881596732,12.3199997469783,-60.5509644503748,-10.9284382803783,250,0.042726864079745,-11.1249491664244,0.00654879758587757,393.0047302,393.0059509,-21901.4140625,-21781.681640625,55.6863422240828,20.5509804447435,8.140677,0,0,0,40,393.18375,1,6,1,1,0,2.2442626953125,64.5161285400391,-21841.5478515625,,,,,,,,,,,,,0,,,,14.9368916,,,,,,393.00534055,,,,
