Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Position Status (code),Evercool Status (code),Motor Current (amps),Motor Heatsink Temp. (C),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation ( A),Bridge 2 Resistance (ohms),Bridge 2 Excitation ( A),Bridge 3 Resistance (ohms),Bridge 3 Excitation ( A),Bridge 4 Resistance (ohms),Bridge 4 Excitation ( A),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,3956203481.91924,299.9983978,-13640.8334960938,8.34048870627277,0.00568064568411152,1,0.999253354069792,40.0298881530762,2.00140584520811,15.70999994874,93.3021210394083,16.4383531962317,250,0.0300969319426991,8.34022003582425,0.0356272078592053,299.9981079,299.9986877,-13690.8837890625,-13590.783203125,56.2686554709098,20.5799616402562,8.512546,0,0,0,40,299.8001,1,6,1,1,0,2.24273681640625,62.0723381042481,-13640.8334960938,,,,,,,,,,,,,0,,,,12.3545799,,,,,,299.9983978,,,,
,3956203483.04175,299.9979553,-13750.9233398438,8.19397120017215,0.00597687423624969,1,0.999253354069792,40.0298881530762,2.00131545525817,15.70999994874,91.658960705,16.1494645265382,250,0.0296212482776246,8.19370722645146,0.0350542424948914,299.9978027,299.9981079,-13810.962890625,-13690.8837890625,56.3218062102175,20.5780114370218,8.884414,0,0,0,40,299.801,1,6,1,1,0,2.25372314453125,62.0723381042481,-13750.9233398438,,,,,,,,,,,,,0,,,,12.5425129,,,,,,299.9979553,,,,
,3956203484.30513,299.9980011,-13880.91015625,8.04316141217003,0.00601843750430406,1,0.999253354069792,40.0298881530762,2.00141883418982,15.70999994874,89.9769115321152,15.8505952386902,250,0.028858817494184,8.04290245690418,0.0341916538776195,299.9978027,299.9981995,-13950.857421875,-13810.962890625,56.1279623374482,20.581311136261,8.884414,0,0,0,40,299.803,1,6,1,1,0,2.249755859375,62.0723381042481,-13880.91015625,,,,,,,,,,,,,0,,,,12.8589001,,,,,,299.9980011,,,,
,3956203485.66091,299.9981842,-14010.822265625,7.73510749535009,0.00624790926379028,1,0.999253354069792,40.0298881530762,2.00137772554278,15.70999994874,86.5297299370267,15.2393355282993,250,0.0274073253648474,7.73485869799967,0.0325358136453477,299.9981689,299.9981995,-14070.787109375,-13950.857421875,56.2561494146021,20.5795749271923,8.884414,0,0,0,40,299.80235,1,6,1,1,0,2.2418212890625,62.0723381042481,-14010.822265625,,,,,,,,,,,,,0,,,,12.8589001,,,,,,299.9981842,,,,
,3956203486.95842,299.99838255,-14135.8559570312,7.57715596723128,0.00632800369885385,1,0.999253354069792,40.0298881530762,2.00130599751383,15.70999994874,84.7581145532402,14.9376154908752,250,0.0277400736943496,7.5769116672695,0.0327637184616547,299.9981689,299.9985962,-14200.9248046875,-14070.787109375,56.2131598460444,20.5819700485627,7.396941,0,0,0,40,299.80115,1,6,1,1,0,2.25357055664062,62.0723381042481,-14135.8559570312,,,,,,,,,,,,,0,,,,12.5425129,,,,,,299.99838255,,,,
,3956203488.10137,299.9984131,-14255.9658203125,7.41397255564692,0.0065309526158044,1,0.999253354069792,40.0298881530762,2.00138099411318,15.70999994874,82.9387442319176,14.5991475944207,250,0.0255972385603037,7.41373454976593,0.0305126535214946,299.99823,299.9985962,-14311.0068359375,-14200.9248046875,56.2913226979675,20.5807755778025,8.140677,0,0,0,40,299.7999,1,6,1,1,0,2.24014282226562,62.0723381042481,-14255.9658203125,,,,,,,,,,,,,0,,,,12.3545799,,,,,,299.9984131,,,,
,3956203489.33262,299.9985504,-14381.0693359375,7.24742088387775,0.00649468847614919,1,0.999253354069792,40.0298881530762,2.00134608364241,15.70999994874,81.0741661512222,14.2710734936634,250,0.0250340212584438,7.24718822698,0.0298389050898091,299.99823,299.9988708,-14451.1318359375,-14311.0068359375,56.0537076281213,20.5802012182123,8.140677,0,0,0,40,299.7997,1,6,1,1,0,2.24105834960938,62.0723381042481,-14381.0693359375,,,,,,,,,,,,,0,,,,12.5425129,,,,,,299.9985504,,,,
,3956203490.72965,299.99861145,-14516.0927734375,6.90080490467995,0.00703269411887886,1,0.999253354069792,40.0298881530762,2.00135215906404,15.70999994874,77.1949519548828,13.6000610515975,250,0.0248622611472499,6.90058270734437,0.0294371822319759,299.9983521,299.9988708,-14581.0537109375,-14451.1318359375,56.292885955006,20.5815284726204,8.512546,0,0,0,40,299.8007,1,6,1,1,0,2.23663330078125,62.0723381042481,-14516.0927734375,,,,,,,,,,,,,0,,,,12.5425129,,,,,,299.99861145,,,,
,3956203492.07165,299.99847415,-14646.1049804687,6.72596859936613,0.0069955232002255,1,0.999253354069792,40.0298881530762,2.00128328158259,15.70999994874,75.2388160100135,13.2425227255623,250,0.0231130888587854,6.72575278489185,0.0275720150132539,299.9983521,299.9985962,-14711.15625,-14581.0537109375,56.3257143528137,20.5814322832402,7.025072,0,0,0,40,299.80135,1,6,1,1,0,2.24258422851562,62.0723381042481,-14646.1049804687,,,,,,,,,,,,,0,,,,12.5425129,,,,,,299.99847415,,,,
,3956203493.25428,299.99839785,-14771.0854492187,6.54077735831109,0.00723791922745051,1,0.999253354069792,40.0298881530762,2.00137150233148,15.70999994874,73.1702341880698,12.8790650519274,250,0.0225311064487186,6.54056746023723,0.0268671499792683,299.9981995,299.9985962,-14831.0146484375,-14711.15625,56.0974788251982,20.5804984887866,7.396941,0,0,0,40,299.80185,1,6,1,1,0,2.23709106445313,62.0723381042481,-14771.0854492187,,,,,,,,,,,,,0,,,,12.7304459,,,,,,299.99839785,,,,
